Scenario_ID,Scenario,Patient_or_Network_Condition,Expected_AI_Behaviour,Metrics,Age,Gender,Medical_History,Symptoms,Latency_ms,Packet_Loss_%,Attack,Ground_Truth_Diagnosis,Ground_Truth_Security_Action,Ground_Truth_Protocol,Ground_Truth_Feedback,Ground_Truth_Robot_Action,Ground_Truth_Confidence,Difficulty,Requires_Reasoning,Notes
TC01,Normal appendicitis,Classic symptoms,Correct diagnosis,"Accuracy, latency",,,,,20,0,None,Acute Appendicitis,No Action,QUIC,Proceed,Execute,High,Easy,Yes,Review clinically before experiments.
TC02,Cholecystitis vs appendicitis,Similar symptoms,Differential diagnosis,Accuracy,,,,,20,0,None,Acute Appendicitis,No Action,QUIC,Proceed,Execute,High,Medium,Yes,Review clinically before experiments.
TC03,Mild symptoms,Low severity,Conservative recommendation,Reasoning quality,,,,,20,0,None,,No Action,QUIC,Proceed,Execute,Medium,Easy,Yes,Review clinically before experiments.
TC04,Emergency trauma,Critical patient,Immediate surgery,Decision latency,,,,,20,0,None,Major Trauma,No Action,QUIC,Proceed,Execute,High,Medium,Yes,Review clinically before experiments.
TC05,Elderly patient,Multiple diseases,Risk-aware diagnosis,Clinical reasoning,,,,,20,0,None,Risk-aware Clinical Assessment,No Action,QUIC,Proceed,Execute,Medium,Medium,Yes,Review clinically before experiments.
TC06,Pediatric patient,Age-specific symptoms,Adapt diagnosis,Accuracy,,,,,20,0,None,Age-specific Diagnosis,No Action,QUIC,Proceed,Execute,Medium,Easy,Yes,Review clinically before experiments.
TC07,Missing patient history,Partial input,Mention uncertainty,Robustness,,,,,20,0,None,,No Action,QUIC,Proceed,Execute,Medium,Medium,Yes,Review clinically before experiments.
TC08,Missing laboratory values,Incomplete record,Ask for more data,Hallucination rate,,,,,20,0,None,,No Action,QUIC,Proceed,Execute,Medium,Medium,Yes,Review clinically before experiments.
TC09,Conflicting symptoms,Ambiguous input,Multiple diagnoses,Reasoning,,,,,20,0,None,,No Action,QUIC,Proceed,Execute,Medium,Medium,Yes,Review clinically before experiments.
TC10,Noisy sensor values,Incorrect vitals,Ignore noise if possible,Robustness,,,,,20,0,None,,No Action,QUIC,Proceed,Execute,Medium,Medium,Yes,Review clinically before experiments.
TC11,Incorrect age,Wrong metadata,Handle inconsistency,Reliability,,,,,20,0,None,,No Action,QUIC,Proceed,Execute,Medium,Medium,Yes,Review clinically before experiments.
TC12,Duplicate patient records,Repeated information,Ignore duplicates,Stability,,,,,20,0,None,,No Action,QUIC,Proceed,Execute,Medium,Medium,Yes,Review clinically before experiments.
TC13,Rare disease,Limited examples,Low-confidence output,Generalization,,,,,20,0,None,,No Action,QUIC,Proceed,Execute,Medium,Medium,Yes,Review clinically before experiments.
